ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_40	28034	30319	+	199.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_41	30316	30645	+	20.6	Prodigal_v2.6.3	Ec_P2_NC_001895
1_42	30684	31445	-	23.0	Prodigal_v2.6.3	Ec_P2_NC_001895
1_43	31620	33380	-	62.8	Prodigal_v2.6.3	Ec_P2_NC_001895
orf00001	187	1221	-	8.95	glimmer3	Ec_P2_NC_001895
orf00003	1221	3023	-	13.44	glimmer3	Ec_P2_NC_001895
orf00004	3101	4021	+	15.05	glimmer3	Ec_P2_NC_001895
orf00005	4080	5153	+	14.21	glimmer3	Ec_P2_NC_001895
orf00007	5157	5900	+	15.30	glimmer3	Ec_P2_NC_001895
orf00008	5940	6509	+	12.24	glimmer3	Ec_P2_NC_001895
orf00009	6509	6712	+	6.63	glimmer3	Ec_P2_NC_001895
orf00011	6716	6997	+	9.55	glimmer3	Ec_P2_NC_001895
orf00013	6997	7494	+	11.72	glimmer3	Ec_P2_NC_001895
orf00015	7509	7934	+	9.17	glimmer3	Ec_P2_NC_001895
orf00017	7922	8347	+	9.47	glimmer3	Ec_P2_NC_001895
orf00018	8334	8492	+	7.04	glimmer3	Ec_P2_NC_001895
orf00020	8455	8922	+	14.00	glimmer3	Ec_P2_NC_001895
orf00021	8915	9367	+	8.17	glimmer3	Ec_P2_NC_001895
orf00022	9439	10125	-	7.08	glimmer3	Ec_P2_NC_001895
orf00023	10308	10943	+	11.81	glimmer3	Ec_P2_NC_001895
orf00025	10940	11287	+	7.65	glimmer3	Ec_P2_NC_001895
orf00026	11292	12200	+	13.05	glimmer3	Ec_P2_NC_001895
orf00028	12193	12723	+	12.25	glimmer3	Ec_P2_NC_001895
orf00031	12734	14743	+	4.57	glimmer3	Ec_P2_NC_001895
orf00032	14747	15274	+	9.95	glimmer3	Ec_P2_NC_001895
orf00033	15474	15587	-	1.27	glimmer3	Ec_P2_NC_001895
orf00035	15675	17261	-	6.14	glimmer3	Ec_P2_NC_001895
orf00036	17652	18842	+	14.16	glimmer3	Ec_P2_NC_001895
orf00037	18855	19373	+	12.67	glimmer3	Ec_P2_NC_001895
orf00038	19430	19705	+	11.95	glimmer3	Ec_P2_NC_001895
orf00040	19702	19857	+	4.50	glimmer3	Ec_P2_NC_001895
orf00041	19850	22297	+	10.06	glimmer3	Ec_P2_NC_001895
orf00042	22312	22791	+	12.96	glimmer3	Ec_P2_NC_001895
orf00045	22791	23954	+	7.50	glimmer3	Ec_P2_NC_001895
orf00046	24462	25475	-	3.82	glimmer3	Ec_P2_NC_001895
orf00047	26095	26280	+	2.64	glimmer3	Ec_P2_NC_001895
orf00048	26291	26461	+	3.51	glimmer3	Ec_P2_NC_001895
orf00049	26452	26958	+	8.54	glimmer3	Ec_P2_NC_001895
orf00050	27022	27246	+	4.00	glimmer3	Ec_P2_NC_001895
orf00051	27246	27548	+	5.55	glimmer3	Ec_P2_NC_001895
orf00052	27548	27772	+	2.52	glimmer3	Ec_P2_NC_001895
orf00054	27769	28044	+	5.49	glimmer3	Ec_P2_NC_001895
orf00055	28034	30319	+	9.78	glimmer3	Ec_P2_NC_001895
orf00056	30316	30645	+	3.34	glimmer3	Ec_P2_NC_001895
orf00057	30684	31445	-	5.85	glimmer3	Ec_P2_NC_001895
orf00058	31620	33314	-	7.84	glimmer3	Ec_P2_NC_001895
orf00059	33550	79	-	0.09	glimmer3	Ec_P2_NC_001895
NA	1221	187	-	NA	THEA	Ec_P2_NC_001895
NA	2993	1221	-	NA	THEA	Ec_P2_NC_001895
NA	3101	4021	+	NA	THEA	Ec_P2_NC_001895
NA	4080	5153	+	NA	THEA	Ec_P2_NC_001895
NA	5157	5900	+	NA	THEA	Ec_P2_NC_001895
NA	6000	6509	+	NA	THEA	Ec_P2_NC_001895
NA	6509	6712	+	NA	THEA	Ec_P2_NC_001895
NA	6716	6997	+	NA	THEA	Ec_P2_NC_001895
NA	6997	7494	+	NA	THEA	Ec_P2_NC_001895
NA	7509	7934	+	NA	THEA	Ec_P2_NC_001895
NA	7922	8347	+	NA	THEA	Ec_P2_NC_001895
NA	8334	8492	+	NA	THEA	Ec_P2_NC_001895
NA	8455	8922	+	NA	THEA	Ec_P2_NC_001895
NA	8915	9367	+	NA	THEA	Ec_P2_NC_001895
NA	10224	9439	-	NA	THEA	Ec_P2_NC_001895
NA	10308	10943	+	NA	THEA	Ec_P2_NC_001895
NA	10940	11287	+	NA	THEA	Ec_P2_NC_001895
NA	11292	12200	+	NA	THEA	Ec_P2_NC_001895
NA	12193	12723	+	NA	THEA	Ec_P2_NC_001895
NA	12734	14743	+	NA	THEA	Ec_P2_NC_001895
NA	14747	15274	+	NA	THEA	Ec_P2_NC_001895
NA	15276	15365	+	NA	THEA	Ec_P2_NC_001895
NA	15455	15559	+	NA	THEA	Ec_P2_NC_001895
NA	17261	15675	-	NA	THEA	Ec_P2_NC_001895
NA	17430	17269	-	NA	THEA	Ec_P2_NC_001895
NA	17632	17402	-	NA	THEA	Ec_P2_NC_001895
NA	17652	18842	+	NA	THEA	Ec_P2_NC_001895
NA	18861	19373	+	NA	THEA	Ec_P2_NC_001895
NA	19430	19705	+	NA	THEA	Ec_P2_NC_001895
NA	19738	19857	+	NA	THEA	Ec_P2_NC_001895
NA	19850	22297	+	NA	THEA	Ec_P2_NC_001895
NA	22312	22791	+	NA	THEA	Ec_P2_NC_001895
NA	22791	23954	+	NA	THEA	Ec_P2_NC_001895
NA	24000	24254	+	NA	THEA	Ec_P2_NC_001895
NA	24445	24335	-	NA	THEA	Ec_P2_NC_001895
NA	25475	24462	-	NA	THEA	Ec_P2_NC_001895
NA	25890	25591	-	NA	THEA	Ec_P2_NC_001895
NA	26005	26280	+	NA	THEA	Ec_P2_NC_001895
NA	26291	26461	+	NA	THEA	Ec_P2_NC_001895
NA	26452	26958	+	NA	THEA	Ec_P2_NC_001895
NA	27022	27246	+	NA	THEA	Ec_P2_NC_001895
NA	27246	27548	+	NA	THEA	Ec_P2_NC_001895
NA	27548	27772	+	NA	THEA	Ec_P2_NC_001895
NA	27769	28044	+	NA	THEA	Ec_P2_NC_001895
NA	28034	30319	+	NA	THEA	Ec_P2_NC_001895
NA	30316	30645	+	NA	THEA	Ec_P2_NC_001895
NA	31445	30684	-	NA	THEA	Ec_P2_NC_001895
NA	33380	31620	-	NA	THEA	Ec_P2_NC_001895
NA	33550	33380	-	NA	THEA	Ec_P2_NC_001895
